wrong,correct
pembuahan,pembunuhan
pembunuHj,pembunuhan
cawat tengah,Jawa Tengah
cakgaun,Desa Krogowanan
kedunggu ni,Kedungwuni
timur,Timur
pekalongan,Pekalongan
palang,Polres
pertukas,Petugas
usain,Usai
petara,meter
ditembukkan,ditemukan
dekteras,teras
memandul,memantul
soarang,seorang
priatak,pria tak
mengdari,mengendarai
berupulang,pulang
menyerimah,menjamu
tumalan,malam
han,Hj
nurfa tua,Nur Fathu
repait per satuan kembawanan,Fraksi Partai Keadilan Sejahtera
payrol,payroll
onboding,onboarding
keypin,KPI
evakuasi,evaluasi
treding,training
deadlin,deadline
rekrutmen,rekrutmen
interview,interview
karyawan,karyawan
manajer,manajer
kabupaten tekal lokan,Kabupaten Pekalongan
kabupaten pekalongan,Kabupaten Pekalongan
Cawa Tengah,Jawa Tengah
cawat,Jawa
pecamatan,kecamatan
tekalokan,Pekalongan
peter,meter